@timestamp,@message
2023-12-08 17:21:33.457,"{'loss': 1.8653, 'learning_rate': 0.00010921228304405876, 'epoch': 0.91}"
2023-12-08 17:19:37.427,"{'loss': 1.8758, 'learning_rate': 0.00011054739652870494, 'epoch': 0.89}"
2023-12-08 17:17:41.396,"{'loss': 1.8345, 'learning_rate': 0.00011188251001335116, 'epoch': 0.88}"
2023-12-08 17:15:46.366,"{'loss': 1.9335, 'learning_rate': 0.00011321762349799734, 'epoch': 0.87}"
2023-12-08 17:13:50.336,"{'loss': 1.8564, 'learning_rate': 0.00011455273698264353, 'epoch': 0.85}"
2023-12-08 17:11:55.305,"{'loss': 1.924, 'learning_rate': 0.00011588785046728972, 'epoch': 0.84}"
2023-12-08 17:09:59.272,"{'loss': 1.9045, 'learning_rate': 0.00011722296395193593, 'epoch': 0.83}"
2023-12-08 17:08:03.241,"{'loss': 1.8914, 'learning_rate': 0.00011855807743658212, 'epoch': 0.81}"
2023-12-08 17:06:08.211,"{'loss': 1.9791, 'learning_rate': 0.0001198931909212283, 'epoch': 0.8}"
2023-12-08 17:04:12.182,"{'loss': 1.921, 'learning_rate': 0.00012122830440587452, 'epoch': 0.79}"
2023-12-08 17:02:16.153,"{'loss': 1.9629, 'learning_rate': 0.0001225634178905207, 'epoch': 0.77}"
2023-12-08 17:00:21.123,"{'loss': 1.9201, 'learning_rate': 0.0001238985313751669, 'epoch': 0.76}"
2023-12-08 16:58:25.093,"{'loss': 1.9233, 'learning_rate': 0.00012523364485981308, 'epoch': 0.75}"
2023-12-08 16:56:30.062,"{'loss': 1.8931, 'learning_rate': 0.0001265687583444593, 'epoch': 0.73}"
2023-12-08 16:54:34.033,"{'loss': 1.9101, 'learning_rate': 0.00012790387182910548, 'epoch': 0.72}"
2023-12-08 16:52:39.005,"{'loss': 1.8922, 'learning_rate': 0.00012923898531375168, 'epoch': 0.71}"
2023-12-08 16:50:42.976,"{'loss': 1.9241, 'learning_rate': 0.00013057409879839785, 'epoch': 0.69}"
2023-12-08 16:48:46.946,"{'loss': 1.8675, 'learning_rate': 0.00013190921228304408, 'epoch': 0.68}"
2023-12-08 16:46:51.917,"{'loss': 1.8752, 'learning_rate': 0.00013324432576769025, 'epoch': 0.67}"
2023-12-08 16:44:55.886,"{'loss': 1.9154, 'learning_rate': 0.00013457943925233645, 'epoch': 0.65}"
2023-12-08 16:43:00.856,"{'loss': 1.8179, 'learning_rate': 0.00013591455273698265, 'epoch': 0.64}"
2023-12-08 16:41:04.826,"{'loss': 1.9363, 'learning_rate': 0.00013724966622162885, 'epoch': 0.63}"
2023-12-08 16:39:08.797,"{'loss': 1.956, 'learning_rate': 0.00013858477970627505, 'epoch': 0.61}"
2023-12-08 16:37:13.767,"{'loss': 1.9, 'learning_rate': 0.00013991989319092122, 'epoch': 0.6}"
2023-12-08 16:35:17.737,"{'loss': 1.9577, 'learning_rate': 0.00014125500667556745, 'epoch': 0.59}"
2023-12-08 16:33:22.707,"{'loss': 1.8518, 'learning_rate': 0.00014259012016021362, 'epoch': 0.57}"
2023-12-08 16:31:26.677,"{'loss': 1.9384, 'learning_rate': 0.00014392523364485982, 'epoch': 0.56}"
2023-12-08 16:29:31.648,"{'loss': 1.8943, 'learning_rate': 0.00014526034712950602, 'epoch': 0.55}"
2023-12-08 16:27:35.618,"{'loss': 1.9306, 'learning_rate': 0.00014659546061415222, 'epoch': 0.53}"
2023-12-08 16:25:39.588,"{'loss': 1.9578, 'learning_rate': 0.0001479305740987984, 'epoch': 0.52}"
2023-12-08 16:23:44.558,"{'loss': 1.9439, 'learning_rate': 0.0001492656875834446, 'epoch': 0.51}"
2023-12-08 16:21:48.528,"{'loss': 1.9713, 'learning_rate': 0.0001506008010680908, 'epoch': 0.49}"
2023-12-08 16:19:53.500,"{'loss': 1.9155, 'learning_rate': 0.000151935914552737, 'epoch': 0.48}"
2023-12-08 16:17:57.471,"{'loss': 1.9197, 'learning_rate': 0.00015327102803738317, 'epoch': 0.47}"
2023-12-08 16:16:02.443,"{'loss': 1.9051, 'learning_rate': 0.0001546061415220294, 'epoch': 0.45}"
2023-12-08 16:14:06.413,"{'loss': 1.8757, 'learning_rate': 0.00015594125500667557, 'epoch': 0.44}"
2023-12-08 16:12:10.383,"{'loss': 1.9236, 'learning_rate': 0.00015727636849132177, 'epoch': 0.43}"
2023-12-08 16:10:15.354,"{'loss': 2.0013, 'learning_rate': 0.00015861148197596797, 'epoch': 0.41}"
2023-12-08 16:08:19.324,"{'loss': 1.9363, 'learning_rate': 0.00015994659546061417, 'epoch': 0.4}"
2023-12-08 16:06:24.295,"{'loss': 1.8819, 'learning_rate': 0.00016128170894526037, 'epoch': 0.39}"
2023-12-08 16:04:28.265,"{'loss': 1.9135, 'learning_rate': 0.00016261682242990654, 'epoch': 0.37}"
